Commune; Adopté en; Valable jusqu'en;Impôt rentrée argent; Impôt spécial affecté; Pour-cent total; Immeubles; Constr. non immatric. registre foncier; Impôt personnel fixe; Ventes, cessions, etc.; Ligne directe ascendante; Ligne directe descendante; Ligne collatérale; Entre non-parents; Impôt compl. s/immeubles soc. et fond.; * Chiens; * Impôt sur les divertissements
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
DISTRICT D'AIGLE;;;;;;;;;;;;;;;;
Crans;2025;2026;59; - ;59;1; - ;-;50;-;-;70;100;50;1.0p/Fr; 10 cts 
Crassier;2025;2026;65; - ;65;1; - ;-;50;-;-;50;100;50;60; -   
Duillier;2025;2026;66; - ;66;1;0.5;-;50;50;-;100;100;50;1.0p/Fr; -   
Dully;2022;2026;53; - ;53;1;0.5;-;50;30;-;50;100;50;40; -   
Essertines-sur-Rolle;2025;2026;66.5; - ;66.5;1.3; - ;-;50;50;50;100;100;50;50;10
Eysins;2025;2026;59.5; - ;59.5;1; - ;-;50;50;50;100;100;50;1.0p/Fr; - 
Founex;2025;2026;57; - ;57;1; - ;-;50;-;-;100;100;50;90; -   
Genolier;2025;2026;52; - ;52;1; - ;-;50;-;-;50;50;50;0.5p/Fr; -   
Gilly;2025;2026;62.5; - ;62.5;1; - ;-;50;-;-;50;100;50;40; -   
Gingins;2025;2026;60; - ;60;0.6;0.5;-;50;-;-;25;100;50;100; -   
Givrins;2025;2026;68.5; - ;68.5;0.9; - ;-;50;-;-;-;100;-;80; -   
Gland;2025;2026;61; - ;61;1; - ;-;50;50;50;100;100;50;100; -   
Grens;2025;2026;60; - ;60;1; - ;-;50;-;-;50;50;50;50;5
La Rippe;2025;2026;63.5; - ;63.5;1; - ;-;50;-;-;50;100;50;100; -   
Le Vaud;2025;2026;69; -   ;69;1.5; - ; - ;50; - ; - ;100;100;50;100; -   
Longirod;2025;2026;77.5; -   ;77.5;1;0.5; - ;50; - ; - ;80;100;50;90; -   
Luins;2025;2026;58.5; - ;58.5;1.5; - ;-;50;50;40;100;100;30;0.60p/Fr; -   
Marchissy;2025;2026;77.5; - ;77.5;1;0.5;-;50;50;50;100;100;50;80; -   
Mies;2025;2026;54; - ;54;1; - ;-;50;-;-;75;75;50;50; -   
Mont-sur-Rolle;2025;2026;62; - ;62;1;0.5;-;50;40;40;100;100;30;1.0p/Fr; -   
Nyon;2023;2026;61; - ;61;1.5; - ;-;50;100;100;100;100;50;75; -   
Perroy;2025;2026;60.5; - ;60.5;1.3; - ;-;50;30;30;100;100;50;80; -   
Prangins;2025;2026;57; - ;57;1.4; - ;-;50;100;-;100;100;50;70; -   
Rolle;2025;2026;59.5; - ;59.5;1;0.5;-;50;50;-;100;100;50;75; -   
Saint-Cergue;2025;2026;66; - ;66;1.5; - ;-;50;50;50;70;100;50;50; -   
Saint-George;2025;2026;69.5; - ;69.5;1.2;0.5;-;50;20;20;100;100;50;80; -   
Signy-Avenex;2025;2026;58; - ;58;1;0.5;-;50;-;-;50;50;50;50; 50 cts 
Tannay;2025;2026;60.5; - ;60.5;1.5; - ;-;50;-;-;-;100;50;80; -   
Tartegnin;2025;2026;79; - ;79;1;0.5;-;50;40;40;100;100;50;50; -   
Trélex;2025;2026;57; -   ;57;0.9; - ; - ;50; - ; - ;70;70;50;50; -   
Vich;2024;2026;63; -   ;63;1; - ; - ;50; - ; - ;50;100;50;100; -   
Vinzel;2025;2026;65; - ;65;1;0.5;-;50;50;-;100;100;50;1.0p/Fr; -   
;;;;;;;;;;;;;;;;
DISTRICT DE L'OUEST LAUSANNOIS;;;;;;;;;;;;;;;;
Bussigny;2025;2026;62.5; - ;62.5;1.25;0.5;-;50;-;-;100;100;50;80; -   
Chavannes-près-Renens;2023;2026;77.5; - ;77.5;1.5;0.5;-;50;50;50;100;100;50;150;15
Crissier;2022;2027;63.5; - ;63.5;1;0.5; - ;50;50;-;100;100;50;1.50p/Fr; -   
Ecublens (VD);2022;2027;62.5; -   ;62.5;1.2;0.5; - ;50;50;50;100;100;50;100;10
Prilly;2025;2027;72.5; - ;72.5;1.3;0.5;-;50;50;-;100;100;50;120; -   
Renens (VD);2024;2027;77; -   ;77;1.4;0.5; - ;50;100;100;100;100;50;100; -   
Saint-Sulpice (VD);2025;2026;55; - ;55;0.8;0.5;-;50;80;-;80;100;50;100; -   
Villars-Sainte-Croix;2023;2026;60.5; - ;60.5;1;0.5;-;50;-;-;50;100;50;80;10
;;;;;;;;;;;;;;;;
DISTRICT RIVIERA-PAYS D'ENHAUT;;;;;;;;;;;;;;;;
Blonay - Saint-Légier;2024;2026;67.5; -   ;67.5;1;0.5; - ;50; - ; - ;100;100;50;100; -   
Chardonne;2025;2026;68; - ;68;1; - ;-;50;70;50;100;100;50;80; -   
Château-d'Oex;2025;2027;79.5;2;81.5;1.5;0.5;-;50;100;100;100;100;50;120; -   
Corseaux;2025;2026;67.5; - ;67.5;1;0.5;-;50;100;25;100;100;50;50; -   
Corsier-sur-Vevey;2025;2026;64.5; - ;64.5;1.2; - ;-;50;100;-;100;100;50;100; -   
Jongny**;2023;2025;69.5; - ;69.5;1.2;0.5;-;50;50;50;100;100;50;100; -   
La Tour-de-Peilz**;2023;2024;62.5;1.5;64;1.2;0.5; - ;50;100;-;100;100;50;100; -   
Montreux;2025;2027;65; - ;65;1.5;0.5;-;50;100;80;100;100;50;100; -   
Rossinière;2025;2026;81; - ;81;1.5;0.5;-;50;100;50;100;100;50;80;10
Rougemont;2025;2026;79; -   ;79;1.5; -   ;0;50;50;50;100;100;50;60; -   
Vevey;2025;2026;74.5; - ;74.5;1.5;0.5;-;50;100;75;100;100;50;150; -   
Veytaux;2024;2026;65; -   ;65;1.5;0.5; - ;50;50; - ;100;100;50;100; 100 cts 
;;;;;;;;;;;;;;;;
* Eventuelles exonérations, voir arrêté d'imposition;;;;;;;;;;;;;;;;
** Ancien arrêté prorogé de plein droit (Art. 35 LICom);;;;;;;;;;;;;;;;
